柏雷素尔 	 名古屋八鲸	3-1
广岛三箭 	 FC东京	0-1
川崎前锋 	 大阪飞脚	5-3
FC东京 	 湘南海洋	1-2
大阪飞脚 	 浦和红钻	2-1
广岛三箭 	 川崎前锋	2-1
横滨水手 	 神户胜利船	2-1
鹿岛鹿角 	 柏雷素尔	3-2
清水心跳 	 仙台维加泰	0-1
鸟栖沙岩 	 名古屋八鲸	0-0
新泻天鹅 	 松本山雅	2-0
山形山神 	 甲府风林	0-1
FC东京 	 浦和红钻	3-4
川崎前锋 	 横滨水手	0-1
甲府风林 	 广岛三箭	0-2
名古屋八鲸 	 新泻天鹅	4-2
清水心跳 	 柏雷素尔	0-3
神户胜利船 	 山形山神	3-1
松本山雅 	 鸟栖沙岩	1-2
湘南海洋 	 鹿岛鹿角	2-1
仙台维加泰 	 大阪飞脚	1-3
柏雷素尔 	 FC东京	0-1
大阪飞脚 	 广岛三箭	0-2
鹿岛鹿角 	 横滨水手	2-0
名古屋八鲸 	 甲府风林	4-2
鸟栖沙岩 	 仙台维加泰	1-0
浦和红钻 	 川崎前锋	1-1
山形山神 	 清水心跳	1-2
神户胜利船 	 松本山雅	2-1
新泻天鹅 	 湘南海洋	0-2
FC东京 	 鸟栖沙岩	0-0
柏雷素尔 	 新泻天鹅	1-1
川崎前锋 	 仙台维加泰	1-0
大阪飞脚 	 山形山神	4-0
广岛三箭 	 湘南海洋	5-0
横滨水手 	 松本山雅	0-0
甲府风林 	 清水心跳	2-2
鹿岛鹿角 	 名古屋八鲸	1-0
浦和红钻 	 神户胜利船	5-2
